Source;Target;Combined;Inserts;Deletes
sîrk;sîrkno;sîrkINS(no);INS(no);
çûk;çûka;çûkINS(a);INS(a);
dûmeqesk;dûmeqeska;dûmeqeskINS(a);INS(a);
rûhevîrk : potê ku davên ser hevîr;rûhevîrk : potê ku davên ser hevîreke;rûhevîrk : potê ku davên ser hevîrINS(eke);INS(eke);
kujer;kujer;kujer;;
seza;sezaî;sezaINS(î);INS(î);
çewisîn;çewisînno;çewisînINS(no);INS(no);
mekanîk;mekanîkinan;mekanîkINS(inan);INS(inan);
benderuhî;benderuhîin;benderuhîINS(in);INS(in);
esman;esmanin;esmaINS(n)INS(i)n;INS(n),INS(i);
ceger;cegerin;cegerINS(in);INS(in);
wekîl;wekîlekî;wekîlINS(ek)INS(î);INS(ek),INS(î);
porteqal;porteqalo;porteqalINS(o);INS(o);
melû;melûinan;melûINS(inan);INS(inan);
mehîn;mehîneke;mehînINS(eke);INS(eke);
gevzik;gevzikê;gevzikINS(ê);INS(ê);
hêlan;hêlame;hêlaDEL(n)INS(m)INS(e);INS(m),INS(e);DEL(n)
dawênkurtk;dawênkurtkinan;dawênkurtkINS(inan);INS(inan);
keçxalet;keçxaletine;keçxaletINS(ine);INS(ine);
hîz;hîzin;hîzINS(in);INS(in);
îzbandot;îzbandota;îzbandotINS(a);INS(a);
ra-xistin;nera-xistim;INS(ne)ra-xistiDEL(n)INS(m);INS(ne),INS(m);DEL(n)
kulek;kulekê;kulekINS(ê);INS(ê);
çema stû;çema stûinan;çema stûINS(inan);INS(inan);
ezox;ezoxine;ezoxINS(ine);INS(ine);
budceya salane;budceya salaneekî;budceya salaneINS(ek)INS(î);INS(ek),INS(î);
hekê;hekêno;hekêINS(no);INS(no);
lîlandin;nelîlandî;INS(ne)lîlandDEL(i)DEL(n)INS(î);INS(ne),INS(î);DEL(i),DEL(n)
zibûn;zibûnan;zibûINS(n)INS(a)n;INS(n),INS(a);
kaniyên avdanê;kaniyên avdanêa;kaniyên avdanêINS(a);INS(a);
zirrbav;zirrbavno;zirrbavINS(no);INS(no);
sirrandin;sirrandinin;sirrandINS(in)in;INS(in);
xatûn;xatûnek;xatûnINS(ek);INS(ek);
lîder;lîderin;lîderINS(in);INS(in);
binkask;binkaskeke;binkaskINS(eke);INS(eke);
evzêl;evzêlan;evzêlINS(an);INS(an);
sav-söz;sav-söza;sav-sözINS(a);INS(a);
çinage;çinageê;çinageINS(ê);INS(ê);
batî: gun;batî: gun;batî: gun;;
rûniþtvan;rûniþtvanên;rûniþtvaINS(n)INS(ê)n;INS(n),INS(ê);
ronesans;ronesansê;ronesansINS(ê);INS(ê);
alîk;alîkno;alîkINS(no);INS(no);
miþtelî;miþtelîek;miþtelîINS(ek);INS(ek);
hebûn;hebûin;hebûINS(i)n;INS(i);
gevizandin;bigevizandiba;INS(bi)gevizandiDEL(n)INS(b)INS(a);INS(bi),INS(b),INS(a);DEL(n)
pizîlaq;pizîlaqeke;pizîlaqINS(eke);INS(eke);
destbirak;destbirakan;destbirakINS(an);INS(an);
mîzkêþ;mîzkêþên;mîzkêþINS(ên);INS(ên);
dirrêt;dirrêtin;dirrêtINS(in);INS(in);
kargeh;kargehên;kargehINS(ên);INS(ên);
hoste;hoste;hoste;;
qalib;qalibekî;qalibINS(ek)INS(î);INS(ek),INS(î);
ûr;ûrin;ûrINS(in);INS(in);
dol;dolinan;dolINS(inan);INS(inan);
tora çav;tora çavên;tora çavINS(ên);INS(ên);
dexm;dexmine;dexmINS(ine);INS(ine);
sefa;sefainan;sefaINS(inan);INS(inan);
qurmiçka qûnê;qurmiçka qûnêan;qurmiçka qûnêINS(an);INS(an);
þems;þemsên;þemsINS(ên);INS(ên);
frank;frankine;frankINS(ine);INS(ine);
derhem;derhemên;derhemINS(ên);INS(ên);
mifredat;mifredata;mifredatINS(a);INS(a);
darê gogê;darê gogêan;darê gogêINS(an);INS(an);
harem;haremên;haremINS(ên);INS(ên);
hemberî;hemberîên;hemberîINS(ên);INS(ên);
replîk;replîk;replîk;;
kirîn;nekirî;INS(ne)kirîDEL(n);INS(ne);DEL(n)
hemet;hemetê;hemetINS(ê);INS(ê);
bêhe;bêheek;bêheINS(ek);INS(ek);
kemçik;kemçikê;kemçikINS(ê);INS(ê);
dîtin;nedîti;INS(ne)dîtiDEL(n);INS(ne);DEL(n)
qewimîn;biqewimin;INS(bi)qewimDEL(î)INS(i)n;INS(bi),INS(i);DEL(î)
neteweparêzî;neteweparêzîine;neteweparêzîINS(ine);INS(ine);
komel;komel;komel;;
hejik;hejika;hejikINS(a);INS(a);
tûncik;tûncikî;tûncikINS(î);INS(î);
ra-pelikîn;nera-pelikîbûya;INS(ne)ra-pelikîDEL(n)INS(b)INS(û)INS(y)INS(a);INS(ne),INS(b),INS(û),INS(y),INS(a);DEL(n)
dîndarî;dîndarîên;dîndarîINS(ên);INS(ên);
mafya;mafyaî;mafyaINS(î);INS(î);
dilpakî;dilpakîê;dilpakîINS(ê);INS(ê);
daniþtin;daniþtino;daniþtinINS(o);INS(o);
ewliya;ewliyano;ewliyaINS(no);INS(no);
zorbaþ;zorbaþên;zorbaþINS(ên);INS(ên);
pijandin;bipijînim;INS(bi)pijDEL(a)DEL(ndi)INS(î)nINS(i)INS(m);INS(bi),INS(î),INS(i),INS(m);DEL(a),DEL(ndi)
dewl;dewline;dewlINS(ine);INS(ine);
hiþyarî;hiþyarîinan;hiþyarîINS(inan);INS(inan);
herimandin;neherimandibûya;INS(ne)herimandiDEL(n)INS(b)INS(û)INS(y)INS(a);INS(ne),INS(b),INS(û),INS(y),INS(a);DEL(n)
kurtayî;kurtayîno;kurtayîINS(no);INS(no);
rewêþtin;rewêþtinine;rewêþtinINS(ine);INS(ine);
tanq;tanqno;tanqINS(no);INS(no);
ewtîn;diewtîin;INS(d)INS(i)ewtîINS(i)n;INS(d),INS(i),INS(i);
rukn;rukn;rukn;;
huneryar;huneryarin;huneryarINS(in);INS(in);
legan;leganeke;leganINS(eke);INS(eke);
gehîk;gehîkan;gehîkINS(an);INS(an);
bistîk;bistîkinan;bistîkINS(inan);INS(inan);
gumsik;gumsikên;gumsikINS(ên);INS(ên);
berdilk;berdilkan;berdilkINS(an);INS(an);
îdealîst;îdealîstek;îdealîstINS(ek);INS(ek);
eczaxane;eczaxaneinan;eczaxaneINS(inan);INS(inan);
çalakî;çalakîa;çalakîINS(a);INS(a);
givaþ;givaþên;givaþINS(ên);INS(ên);
anekdot;anekdotno;anekdotINS(no);INS(no);
derbend;derbendinan;derbendINS(inan);INS(inan);
dolbend;dolbendê;dolbendINS(ê);INS(ê);
giriyan;bigiriyabûya;INS(bi)giriINS(y)INS(a)INS(b)INS(û)yaDEL(n);INS(bi),INS(y),INS(a),INS(b),INS(û);DEL(n)
leyîstin;bileyîstibûya;INS(bi)leyîstiDEL(n)INS(b)INS(û)INS(y)INS(a);INS(bi),INS(b),INS(û),INS(y),INS(a);DEL(n)
mad;mad;mad;;
bikaranîna awayan;bikaranîna awayanê;bikaranîna awayanINS(ê);INS(ê);
diltengî;diltengîa;diltengîINS(a);INS(a);
mahîtab;mahîtaban;mahîtabINS(an);INS(an);
aþane;aþaneno;aþaneINS(no);INS(no);
tefîn;netefin;INS(ne)tefDEL(î)INS(i)n;INS(ne),INS(i);DEL(î)
hevoka pêreyî;hevoka pêreyîên;hevoka pêreyîINS(ên);INS(ên);
ahû;ahûan;ahûINS(an);INS(an);
libat;libatan;libatINS(an);INS(an);
bakuzîr;bakuzîrin;bakuzîrINS(in);INS(in);
cliùd;cliùdek;cliùdINS(ek);INS(ek);
qayîlî;qayîlîine;qayîlîINS(ine);INS(ine);
ziman;zimanek;zimanINS(ek);INS(ek);
bêsewad;bêsewadeke;bêsewadINS(eke);INS(eke);
lerzîn;lerzîn;lerzîn;;
lutf;lutfên;lutfINS(ên);INS(ên);
bikaranîn;bikaranîn;bikaranîn;;
firîkê nokan);firîkê nokan)no;firîkê nokan)INS(no);INS(no);
kefen;kefenan;kefeINS(n)INS(a)n;INS(n),INS(a);
xaþik;xaþikno;xaþikINS(no);INS(no);
gerdek;gerdekê;gerdekINS(ê);INS(ê);
fotografer;fotograferinan;fotograferINS(inan);INS(inan);
nasandin;nanasîne;naDEL(s)DEL(a)DEL(n)DEL(d)DEL(i)nINS(a)INS(s)INS(î)INS(n)INS(e);INS(a),INS(s),INS(î),INS(n),INS(e);DEL(s),DEL(a),DEL(n),DEL(d),DEL(i)
çile;çileo;çileINS(o);INS(o);
kêþan;kêþaneke;kêþanINS(eke);INS(eke);
proto-hindûewropî;proto-hindûewropîno;proto-hindûewropîINS(no);INS(no);
veng;vengên;vengINS(ên);INS(ên);
rijiyan;nedirijiyayî;INS(ne)INS(di)rijiyaDEL(n)INS(y)INS(î);INS(ne),INS(di),INS(y),INS(î);DEL(n)
tajî;tajîek;tajîINS(ek);INS(ek);
mikemeliyet;mikemeliyetan;mikemeliyetINS(an);INS(an);
kongoyî;kongoyîî;kongoyîINS(î);INS(î);
lûla pazû;lûla pazûinan;lûla pazûINS(inan);INS(inan);
tesewif;tesewifên;tesewifINS(ên);INS(ên);
tirozî;tirozî;tirozî;;
qiriçandin;qiriçandinin;qiriçandINS(in)in;INS(in);
mifa;mifaê;mifaINS(ê);INS(ê);
nasandin;nenasandibûma;INS(ne)nasandiDEL(n)INS(b)INS(û)INS(m)INS(a);INS(ne),INS(b),INS(û),INS(m),INS(a);DEL(n)
qîjiyan;nediqîjiyan;INS(ne)INS(di)qîjiyan;INS(ne),INS(di);
mabeyn;mabeyn;mabeyn;;
hinarik;hinarikan;hinarikINS(an);INS(an);
berpeyv;berpeyvine;berpeyvINS(ine);INS(ine);
firoþkar;firoþkarek;firoþkarINS(ek);INS(ek);
qolanî;qolanîa;qolanîINS(a);INS(a);
seng;senga;sengINS(a);INS(a);
neçarî;neçarî;neçarî;;
evdî;evdîên;evdîINS(ên);INS(ên);
þantiye;þantiyea;þantiyeINS(a);INS(a);
ra-kirin;dira-kim;INS(d)INS(i)ra-kiDEL(r)DEL(in)INS(m);INS(d),INS(i),INS(m);DEL(r),DEL(in)
penah;penahên;penahINS(ên);INS(ên);
mistexalib;mistexalibî;mistexalibINS(î);INS(î);
xeftan;xeftanî;xeftanINS(î);INS(î);
tê-xistin;natê-xî;INS(n)INS(a)tê-xDEL(i)DEL(stin)INS(î);INS(n),INS(a),INS(î);DEL(i),DEL(stin)
melez;melezeke;melezINS(eke);INS(eke);
askil;askilên;askilINS(ên);INS(ên);
gelî;gelîek;gelîINS(ek);INS(ek);
pijîn;pijîibûyî;pijINS(î)INS(i)INS(b)INS(û)INS(y)îDEL(n);INS(î),INS(i),INS(b),INS(û),INS(y);DEL(n)
þolpêker;þolpêkerên;þolpêkerINS(ên);INS(ên);
ketezer;ketezerin;ketezerINS(in);INS(in);
nizafe;nizafeên;nizafeINS(ên);INS(ên);
felat;felatên;felatINS(ên);INS(ên);
þimqar;þimqaran;þimqarINS(an);INS(an);
rê vekirin;rê vekirinên;rê vekiriINS(n)INS(ê)n;INS(n),INS(ê);
läpsäytys;läpsäytysên;läpsäytysINS(ên);INS(ên);
ezbet;ezbetno;ezbetINS(no);INS(no);
ferzend;ferzendine;ferzendINS(ine);INS(ine);
xwazok;xwazokê;xwazokINS(ê);INS(ê);
çim;çimin;çimINS(in);INS(in);
pêxew;pêxewên;pêxewINS(ên);INS(ên);
artoþ;artoþa;artoþINS(a);INS(a);
atestasyon;atestasyonê;atestasyonINS(ê);INS(ê);
bildsäule;bildsäuleo;bildsäuleINS(o);INS(o);
kuxuyan;nekuxuyan;INS(ne)kuxuyan;INS(ne);
zêr;zêrên;zêrINS(ên);INS(ên);
civak;civaka;civakINS(a);INS(a);
çîçik;çîçikekî;çîçikINS(ek)INS(î);INS(ek),INS(î);
pirpitîn;pirpitîneke;pirpitînINS(eke);INS(eke);
tacir;taciro;tacirINS(o);INS(o);
binbêder;binbêderin;binbêderINS(in);INS(in);
operator;operatoran;operatorINS(an);INS(an);
darizandin;darizandina;darizandinINS(a);INS(a);
piþkul;piþkuline;piþkulINS(ine);INS(ine);
parsî;parsîa;parsîINS(a);INS(a);
periþtîþ;periþtîþan;periþtîþINS(an);INS(an);
koma keloxan;koma keloxaninan;koma keloxINS(a)INS(n)INS(i)INS(n)an;INS(a),INS(n),INS(i),INS(n);
miqedem;miqedemê;miqedemINS(ê);INS(ê);
hevalnav;hevalnava;hevalnavINS(a);INS(a);
niqutandin;biniqutînyî;INS(bi)niqutDEL(a)DEL(ndi)INS(î)nINS(y)INS(î);INS(bi),INS(î),INS(y),INS(î);DEL(a),DEL(ndi)
girêhiþk;girêhiþkek;girêhiþINS(k)INS(e)k;INS(k),INS(e);
nezle;nezle;nezle;;
kopiyê paþî;kopiyê paþî;kopiyê paþî;;
sîstem;sîstemên;sîstemINS(ên);INS(ên);
kleptoman;kleptoman;kleptoman;;
kuþtin;kuþtina;kuþtinINS(a);INS(a);
þile;þileeke;þilINS(e)INS(ek)e;INS(e),INS(ek);
keçxal;keçxalin;keçxalINS(in);INS(in);
rûpelraxer;rûpelraxerê;rûpelraxerINS(ê);INS(ê);
piþtî;piþtî;piþtî;;
kurdîpeyiv;kurdîpeyivên;kurdîpeyivINS(ên);INS(ên);
samiya skoltî;samiya skoltîa;samiya skoltîINS(a);INS(a);
sefhe;sefheinan;sefheINS(inan);INS(inan);
kartêkirin;kartêkirinno;kartêkirinINS(no);INS(no);
rewahî;rewahîo;rewahîINS(o);INS(o);
pijiqandin;pijiqandim;pijiqandiDEL(n)INS(m);INS(m);DEL(n)
hebandin;dihebînin;INS(d)INS(i)hebDEL(a)INS(î)nDEL(d)in;INS(d),INS(i),INS(î);DEL(a),DEL(d)
bernamzed;bernamzed;bernamzed;;
bilîn;bilînên;bilîINS(n)INS(ê)n;INS(n),INS(ê);
hilpekîn;hilpekîn;hilpekîn;;
têrker;têrkerî;têrkerINS(î);INS(î);
Çekistan;Çekistaneke;ÇekistanINS(eke);INS(eke);
liqandin;liqandim;liqandiDEL(n)INS(m);INS(m);DEL(n)
xistin;naxin;INS(n)INS(a)xDEL(i)DEL(s)DEL(t)in;INS(n),INS(a);DEL(i),DEL(s),DEL(t)
nekrofîlî;nekrofîlîê;nekrofîlîINS(ê);INS(ê);
rîþî;rîþîê;rîþîINS(ê);INS(ê);
kerpîç;kerpîç;kerpîç;;
sir û serma;sir û sermaên;sir û sermaINS(ên);INS(ên);
qîzap;qîzapên;qîzapINS(ên);INS(ên);
rabûn;rabûbûyî;rabûDEL(n)INS(b)INS(û)INS(y)INS(î);INS(b),INS(û),INS(y),INS(î);DEL(n)
neqeb;neqebine;neqebINS(ine);INS(ine);
kuçe;kuçeê;kuçeINS(ê);INS(ê);
karîn;bikarîibayî;INS(bi)karINS(î)INS(i)INS(b)INS(a)INS(y)îDEL(n);INS(bi),INS(î),INS(i),INS(b),INS(a),INS(y);DEL(n)
þalyarxane;þalyarxaneên;þalyarxaneINS(ên);INS(ên);
beyargeh;beyargehek;beyargehINS(ek);INS(ek);
gehînek;gehînekan;gehînekINS(an);INS(an);
ratib;ratibin;ratibINS(in);INS(in);
beliþandin;beliþandina;beliþandinINS(a);INS(a);
rebî;rebî;rebî;;
rezalet;rezaletine;rezaletINS(ine);INS(ine);
pismîr;pismîrekî;pismîrINS(ek)INS(î);INS(ek),INS(î);
oy;oyê;oyINS(ê);INS(ê);
sermayedar;sermayedarek;sermayedarINS(ek);INS(ek);
hêftyar;hêftyara;hêftyarINS(a);INS(a);
reto;retono;retINS(o)INS(n)o;INS(o),INS(n);
narsîst;narsîsto;narsîstINS(o);INS(o);
telefone móvel;telefone móvela;telefone móvelINS(a);INS(a);
arena;arenaeke;arenaINS(eke);INS(eke);
pêþkirin;pêþkirinno;pêþkirinINS(no);INS(no);
neyar;neyarekî;neyarINS(ek)INS(î);INS(ek),INS(î);
nearamî;nearamî;nearamî;;
agah;agah;agah;;
patrîk;patrîkî;patrîkINS(î);INS(î);
binçeng;binçengan;binçengINS(an);INS(an);
cêr;cêrê;cêrINS(ê);INS(ê);
þelxem;þelxemeke;þelxemINS(eke);INS(eke);
bîrewerî;bîrewerîo;bîrewerîINS(o);INS(o);
xêzikên dest;xêzikên destên;xêzikên destINS(ên);INS(ên);
tewizîn;tewizînno;tewizînINS(no);INS(no);
barû;barûek;barûINS(ek);INS(ek);
kepen;kepeneke;kepenINS(eke);INS(eke);
zirrbav;zirrbavine;zirrbavINS(ine);INS(ine);
reþe;reþeno;reþeINS(no);INS(no);
reqisîn;bireqisîbayî;INS(bi)reqisINS(î)INS(b)INS(a)INS(y)îDEL(n);INS(bi),INS(î),INS(b),INS(a),INS(y);DEL(n)
dindikê dirnixê;dindikê dirnixêine;dindikê dirnixêINS(ine);INS(ine);
matmayîn;matmayîneke;matmayînINS(eke);INS(eke);
rex;rexekî;rexINS(ek)INS(î);INS(ek),INS(î);
enwai;enwaine;enwaiINS(ne);INS(ne);
sivnik;sivnikine;sivnikINS(ine);INS(ine);
hil-weþandin;nehil-weþandiana;INS(ne)hil-weþandiINS(a)nINS(a);INS(ne),INS(a),INS(a);
rabûn;nerabûiye;INS(ne)rabûDEL(n)INS(i)INS(y)INS(e);INS(ne),INS(i),INS(y),INS(e);DEL(n)
sentaks;sentaksno;sentaksINS(no);INS(no);
þef;þefo;þefINS(o);INS(o);
ortax;ortaxinan;ortaxINS(inan);INS(inan);
masîk;masîka;masîkINS(a);INS(a);
ajnî;ajnîên;ajnîINS(ên);INS(ên);
pûka diran;pûka diraninan;pûka dirINS(a)INS(n)INS(i)INS(n)an;INS(a),INS(n),INS(i),INS(n);
fer;ferine;ferINS(ine);INS(ine);
apo;apoine;apoINS(ine);INS(ine);
çahlik;çahlikinan;çahlikINS(inan);INS(inan);
gîska mêvanan;gîska mêvananine;gîska mêvananINS(ine);INS(ine);
ekrad;ekradine;ekradINS(ine);INS(ine);
elo-elo;elo-eloê;elo-eloINS(ê);INS(ê);
riste;risteeke;ristINS(e)INS(ek)e;INS(e),INS(ek);
nifûz;nifûzeke;nifûzINS(eke);INS(eke);
prens;prensek;prensINS(ek);INS(ek);
þayîþ;þayîþan;þayîþINS(an);INS(an);
girar;girarine;girarINS(ine);INS(ine);
nanpêjî;nanpêjîin;nanpêjîINS(in);INS(in);
sator;satoreke;satorINS(eke);INS(eke);
þuxulandin;biþuxulandiban;INS(bi)þuxulandiINS(b)INS(a)n;INS(bi),INS(b),INS(a);
xezal;xezala;xezalINS(a);INS(a);
kêlik;kêlik;kêlik;;
xirar;xirarin;xirarINS(in);INS(in);
muzîkvan;muzîkvan;muzîkvan;;
rewahî;rewahî;rewahî;;
negatîf;negatîfan;negatîfINS(an);INS(an);
piyes;piyes;piyes;;
kerrifîn;kerrifînno;kerrifînINS(no);INS(no);
titûn;titûna;titûnINS(a);INS(a);
profesor;profesorin;profesorINS(in);INS(in);
keresî;keresîine;keresîINS(ine);INS(ine);
kelk;kelkeke;kelkINS(eke);INS(eke);
girê-dan;negirê-dm;INS(ne)girê-dDEL(a)DEL(n)INS(m);INS(ne),INS(m);DEL(a),DEL(n)
tirakochi;tirakochia;tirakochiINS(a);INS(a);
bîber;bîberine;bîberINS(ine);INS(ine);
felte;felteno;felteINS(no);INS(no);
çinko;çinkoî;çinkoINS(î);INS(î);
qîzmetik;qîzmetikên;qîzmetikINS(ên);INS(ên);
zadika hêksorê;zadika hêksorêine;zadika hêksorêINS(ine);INS(ine);
friyolî;friyolîa;friyolîINS(a);INS(a);
cixirandin;cixirandinê;cixirandinINS(ê);INS(ê);
qerisîn;nediqerisîn;INS(ne)INS(di)qerisîn;INS(ne),INS(di);
bermilk;bermilkî;bermilkINS(î);INS(î);
biþkov;biþkovin;biþkovINS(in);INS(in);
hem;hemno;hemINS(no);INS(no);
zadika hêksorê;zadika hêksorêinan;zadika hêksorêINS(inan);INS(inan);
este;esteê;esteINS(ê);INS(ê);
nivêj;nivêjno;nivêjINS(no);INS(no);
hesingêr;hesingêrine;hesingêrINS(ine);INS(ine);
mihrican;mihricana;mihricanINS(a);INS(a);
silûk;silûkan;silûkINS(an);INS(an);
fealiyet;fealiyeteke;fealiyetINS(eke);INS(eke);
lezgînî;lezgînîeke;lezgînîINS(eke);INS(eke);
zewac;zewacinan;zewacINS(inan);INS(inan);
lêser;lêserine;lêserINS(ine);INS(ine);
deydik;deydikinan;deydikINS(inan);INS(inan);
xas;xasa;xasINS(a);INS(a);
ziblê têkel;ziblê têkel;ziblê têkel;;
pêþcênîk;pêþcênîko;pêþcênîkINS(o);INS(o);
yekane;yekaneo;yekaneINS(o);INS(o);
kabra;kabraine;kabraINS(ine);INS(ine);
dermal;dermalek;dermalINS(ek);INS(ek);
qazan;qazanê;qazanINS(ê);INS(ê);
zurnevan;zurnevanên;zurnevaINS(n)INS(ê)n;INS(n),INS(ê);
þalik;þalika;þalikINS(a);INS(a);
kurmam;kurmaminan;kurmamINS(inan);INS(inan);
alabora;alaborain;alaboraINS(in);INS(in);
guherrîn;guherrînên;guherrîINS(n)INS(ê)n;INS(n),INS(ê);
riba;riba;riba;;
asker;askera;askerINS(a);INS(a);
zend;zendinan;zendINS(inan);INS(inan);
þkest;þkestine;þkestINS(ine);INS(ine);
funguo;funguoa;funguoINS(a);INS(a);
dengûbas;dengûbasin;dengûbasINS(in);INS(in);
diþeme;diþemeê;diþemeINS(ê);INS(ê);
peroc;perocan;perocINS(an);INS(an);
kerrik;kerrikine;kerrikINS(ine);INS(ine);
berîk;berîkan;berîkINS(an);INS(an);
befr;befra;befrINS(a);INS(a);
grîl;grîlinan;grîlINS(inan);INS(inan);
dizan;dizan;dizan;;
hedad;hedadî;hedadINS(î);INS(î);
toren;toreninan;toreINS(nin)INS(a)n;INS(nin),INS(a);
pêçik;pêçik;pêçik;;
cezayê diravî;cezayê diravîî;cezayê diravîINS(î);INS(î);
nijadperist;nijadperisteke;nijadperistINS(eke);INS(eke);
pranga;prangaa;prangaINS(a);INS(a);
zina;zinainan;zinaINS(inan);INS(inan);
raborîn;raborînine;raborînINS(ine);INS(ine);
albeþk;albeþkî;albeþkINS(î);INS(î);
mal;malên;malINS(ên);INS(ên);
geniaalsus;geniaalsusek;geniaalsusINS(ek);INS(ek);
çilmisandin;nediçilmisandim;INS(ne)INS(di)çilmisandiDEL(n)INS(m);INS(ne),INS(di),INS(m);DEL(n)
li yekî çûn;li yekî çûnin;li yekî çûINS(n)INS(i)n;INS(n),INS(i);
lîman;lîmaneke;lîmanINS(eke);INS(eke);
zêdiyayîþ;zêdiyayîþo;zêdiyayîþINS(o);INS(o);
fikirîn;fikirîm;fikirîDEL(n)INS(m);INS(m);DEL(n)
muhît;muhîtinan;muhîtINS(inan);INS(inan);
legena gurçikê;legena gurçikê;legena gurçikê;;
pirîsk;pirîskin;pirîskINS(in);INS(in);
prostat;prostatê;prostatINS(ê);INS(ê);
laçin;laçina;laçinINS(a);INS(a);
kirêwe;kirêweek;kirêweINS(ek);INS(ek);
miema;miemaek;miemaINS(ek);INS(ek);
hilkolîn;hilkolînin;hilkolîINS(n)INS(i)n;INS(n),INS(i);
werêç;werêçê;werêçINS(ê);INS(ê);
am;ama;amINS(a);INS(a);
ayîndar;ayîndarinan;ayîndarINS(inan);INS(inan);
trimbêl;trimbêla;trimbêlINS(a);INS(a);
berþ;berþine;berþINS(ine);INS(ine);
desþtok;desþtokine;desþtokINS(ine);INS(ine);
ape;apeek;apeINS(ek);INS(ek);
harem;haremê;haremINS(ê);INS(ê);
helîl;helîlin;helîlINS(in);INS(in);
eqeliyet;eqeliyetan;eqeliyetINS(an);INS(an);
wîskî;wîskîek;wîskîINS(ek);INS(ek);
zingar;zingarê;zingarINS(ê);INS(ê);
azadiye;azadiyeê;azadiyeINS(ê);INS(ê);
çok;çokê;çokINS(ê);INS(ê);
bêþ;bêþno;bêþINS(no);INS(no);
kevçiyê darîn;kevçiyê darîn;kevçiyê darîn;;
ve-bûn;neve-bûibûn;INS(ne)ve-INS(b)INS(û)INS(i)bûn;INS(ne),INS(b),INS(û),INS(i);
þûlikîn;neþûlikîya;INS(ne)þûlikîDEL(n)INS(y)INS(a);INS(ne),INS(y),INS(a);DEL(n)
geda;gedaek;gedaINS(ek);INS(ek);
iqtisad;iqtisada;iqtisadINS(a);INS(a);
elîf;elîfa;elîfINS(a);INS(a);
lale;laleek;laleINS(ek);INS(ek);
vilakerdiþ;vilakerdiþin;vilakerdiþINS(in);INS(in);
alîgir;alîgirno;alîgirINS(no);INS(no);
vên;vêninan;vêINS(nin)INS(a)n;INS(nin),INS(a);
fason;fasono;fasonINS(o);INS(o);
xweh;xweha;xwehINS(a);INS(a);
bedilandin;bedilandinno;bedilandinINS(no);INS(no);
polîtîsyen;polîtîsyenên;polîtîsyeINS(n)INS(ê)n;INS(n),INS(ê);
çoratan;çoratanan;çoratINS(an)an;INS(an);
lîberalîzm;lîberalîzm;lîberalîzm;;
